parkrun,out and back,loop,out and back rep,loop rep,sflocdiff
Anacostia parkrun,1,0,1,0,0
Aspen parkrun,3,0,3,0,0
Bear Creek Greenbelt parkrun,2,0,2,0,0
Byxbee parkrun,1,0,1,0,0
"Charleston parkrun, West Virginia",2,0,2,0,0
Clermont Waterfront parkrun,1,0,1,0,0
College Park parkrun,1,0,1,0,0
Crissy Field parkrun,1,1,1,1,0
Deep Run parkrun,1,2,1,3,0
Delaware and Raritan Canal parkrun,1,0,1,0,0
Depot Park parkrun,0,1,0,1,0
Des Moines Creek parkrun,1,0,1,0,0
Durham NC parkrun,1,0,2,0,0
Eagan parkrun,1,2,2,4,1
Fletcher's Cove parkrun,1,0,1,0,0
"Heritage Harbor parkrun, Ottawa",2,0,2,0,0
Himmel parkrun,0,1,0,4,0
Howard Temin Lakeshore Path parkrun,1,0,1,0,0
Jamaica Pond parkrun,1,1,1,2,0
Joe Creason parkrun,0,2,0,4,0
Kensington parkrun,1,0,1,0,0
Leakin Park parkrun,1,0,2,0,0
"Lillie parkrun, Ann Arbor",1,2,1,4,0
"Lillie parkrun, Ann Arbor (winter)",0,1,0,6,0
"Lillie parkrun, Ann Arbor (winter2)",2,1,8,4,0
Livonia parkrun,1,1,1,1,0
Livonia parkrun (winter),3,1,5,2,0
Mansfield OH parkrun,1,0,1,0,0
Marsh-Billings-Rockefeller parkrun,1,1,1,1,0
McAllister parkrun,1,2,1,2,0
Mountain Goat Trail parkrun,2,0,3,0,0
Northside Beltline parkrun,2,0,2,0,0
Oak Grove parkrun,1,1,1,3,0
Ohio and Erie Canal Reservation parkrun,1,0,1,0,0
Perrigo parkrun,3,1,3,3,0
Rec Plex North parkrun,1,2,1,2,0
Renton parkrun,1,0,1,0,0
Rock Creek Trail parkrun,1,0,1,0,0
Roosevelt Island DC parkrun,1,1,1,1,0
Sippo Lake parkrun,2,1,2,1,0
South Boulder Creek parkrun,2,1,2,1,0
Terry Hershey parkrun,1,0,1,0,0
Third Creek Greenway parkrun,2,0,2,0,0
Weedon Island Preserve parkrun,4,2,4,2,0